question_translation_id,knowledge_point_id,language_code,translated_question_text,question_id,question_solution
49085,44,en,Add.\n0.06+0.7[[ans]],22827,"<div class=""ex-text"" align=""center"">
0.06 + 0.7
</div>

**步骤 1：** 对齐每个小数，确保**小数点**对齐。我们先写下数字 0.06，然后在下面写上数字 0.7。
$$
\begin{array}{l l}
& 0.06 \phantom{0} \\
+& 0.7 \phantom{0} \\
\hline
\end{array}
$$


**Step 2:** Add zeros in the places where the length of the decimal numbers is not the same.
$$
\begin{array}{r c r}
&0.7\phantom{0}\\
+&0.06 \\
\hline
\end{array}
\:\:\:\longrightarrow\:\:
\begin{array}{r c r}
&0.7{\color {Salmon} 0}\\
+&0.06 \\
\hline
\end{array}
$$
*Note: When we line up the decimal points in decimal addition, we want to make sure that each digit is in the correct place. To add numbers accurately, equalize the digits after the decimal point by adding zeros.*


**Step 3:** We start with the rightmost column. In this case, it's the hundredths column. We add the digits in that column: $0 + 6 = 6$ and write it in the hundredths column.
$$
\begin{array}{r c r}
&0.70\\
+&0.06 \\
\hline
\end{array}
\:\:\:\longrightarrow\:\:
\begin{array}{r c r}
\\
&0.7{\color {Salmon} 0}\\
+&0.{0}{\color{Salmon} 6} \\
\hline
&\phantom{0}\phantom{0}\:\,{\color {Salmon} 6}
\end{array}
$$


**Step 4:** Next, we move to the left column. In this case, it's the tenths column. We add the digits in that column: $7 + 0 = 7$ and write 7 in the tenths column.
$$
\begin{array}{r c r}
&0.70\\
+&0.06 \\
\hline
&\phantom{0}\phantom{0}\:\,6\\
\end{array}
\:\:\:\longrightarrow\:\:
\begin{array}{r c r}
& \tiny0\:\:\:\:\:\:\:\,\\[-3pt]
&0.{\color {Salmon} 7}0\\
+&0.{\color {Salmon} 0}6 \\
\hline
&\phantom{0}\:{\color {Salmon} 7}6
\end{array}
$$


**Step 5:** Then, we continue to move to the left column. In this case, it's the ones column. We add the digits in that column: $0 + 0 + 0 = 0$ and write it in the ones column. And don't forget to add the decimal point after the ones column.
$$
\begin{array}{l l}
\\
&0.70\\
+&0.06 \\
\hline
&{\color {Salmon} 0}.76
\end{array}
\:\:\:\longrightarrow\:\:
\begin{array}{l l}
\\
&0.70\\
+&0.06 \\
\hline
&0.76\\
\end{array}
$$

因此，最终的解是 0.76。
</div>"
49839,45,en,Subtract.\n0.75−0.36[[ans]],23641,"<div class=""ex-text"" align=""center"">
0.75 - 0.36
</div>

**步骤 1：** 对齐每个十进制数字，确保 **小数点** 对齐。我们先写下数字 0.75，然后在下面写下数字 0.36。
$$
\begin{array}{l l}
&0{\color {Salmon} .}75\\
-&0.36 \\
\hline
\end{array}
$$


**Step 2:** We start with the rightmost column. In the rightmost column, the first number in this column is 5. We can see that 5 is smaller than 6. So, we need borrow 1 from the left column which will make it 15. And the 7 in the left column becomes 6. Now we have $15 - 6 = 9$ in this column and write it in the hundredths column.
$$
\begin{array}{r c r}
&0.75\\
-&0.36 \\
\hline
\end{array}
\:\:\:\longrightarrow    \:\:
\begin{array}{r c r}
& \:\:\:\:\tiny{\color{Salmon} 6}\:\tiny{\color{Salmon} 15}\\[-3pt]
&0.{\color {Salmon} \cancel7 }{\color {Salmon}\cancel5 }\\
-&0.3{\color {Salmon} 6} \\
\hline
&\phantom{0}\phantom{0}\:\,{\color {Salmon} 9 }
\end{array}
$$


**Step 3:** Next, we move to the left column. After giving 1 to the rightmost column in step 3, the 7 in this column becomes 6. Now we have $6 - 3 = 3$ in this column and write it in the tenths column.
$$
\begin{array}{r c r}
& \:\:\:\:\tiny{6}\:\tiny{15}\\[-3pt]
&0.{\cancel{7}}{\cancel{5}}\\
-&0.36\\
\hline
&\phantom{0}\phantom{0}\:\, {9}
\end{array}
\:\:\:\longrightarrow    \:\:
\begin{array}{r c r}
& \:\:\:\:\tiny{\color{Salmon} 6}\:\tiny{15}\\[-3pt]
&0.{\cancel{7}}{\cancel{5}}\\
-&0.{\color{Salmon} 3}{6}\\
\hline
&\:\,\,.{\color{Salmon} 3}{9}
\end{array}
$$


**Step 4:** Then, we continue to move to the left column, the first number in this column is 0. We have $0 - 0 = 0$ in this column and write it in the ones column. And don't forget to add the decimal point after the ones column.

$$
\begin{array}{l l}\\
&0.75\\
-&0.36\\
\hline
&\:\,\,.39\\
\end{array}
\:\:\:\longrightarrow    \:\:
\begin{array}{l l}\\
&0.75\\
-&0.36\\
\hline
&0.39\\
\end{array}
$$



因此，最终解是 0.39。
</div>"
48896,46,en,Convert a decimal to a percent.\n0.52 = [[ans]]%,23166,"<div class=""ex-text"" align=""center"">

$0.52 = \underline{\quad}\%$

</div>

**步骤 1：** 要将小数转换为百分数，我们只需将数字乘以 100。在这种情况下，我们有 0.52。当我们将其乘以 100 时，它变为 52.0。

$$
0.52 \times 100 = 52
$$
**步骤 2：** 然后我们将百分号 **%** 加到结果上。我们读作 ""百分之52""。

$$
52
\:\:\:\longrightarrow    \:\:
52\%
$$"
49440,47,en,Convert improper fraction to mixed number.\n$\frac{16}{5}$ = @![[ans]][[ans]][[ans]]!@,23717,"<div class=""ex-text"" align=""center"">

$\frac{16}{5} =?$

</div>

**步骤 1：** 将分子除以分母。16 除以 5 等于 $3$，余数为 $1$。

$$
\begin{aligned}
&\underline{\text{ }\text{ }\text{ }\text{ }\text{ }\small}\\[-5pt]
5&\big)16\\[-4pt]
\end{aligned}
\:\:\:\longrightarrow    \:\:
\begin{aligned}
&\underline{\:\:{\color {Salmon} 3}\:\:}\\[-5pt]
5&\big)16\:\\[-4pt]
-&{\:\:15\:\:\,}\\[-4pt]
\hline
&\:\:{\color {Salmon} 1}\\[-4pt]
\end{aligned}
$$

**步骤 2：** 然后将整数答案写在余数在分子、原始分母在分母的分数旁边。

$$
\begin{aligned}
&\underline{\:\:{\color {Salmon} 3}\:\:}\\[-5pt]
5&\big)16\:\\[-4pt]
-&{\:\:15\:\:\,}\\[-4pt]
\hline
&\:\:{\color {Salmon} 1}\\[-4pt]
\end{aligned}
\:\:\:\longrightarrow    \:\:
{\color {Salmon} 3}\frac{{\color {Salmon} 1}}{5}
$$
因此，最终解是 $3\large\frac{1}{5}$。
</div>
</div>"
49952,48,en,Change mixed number to improper fraction.\n$7\frac{8}{9}$ = @![[ans]][[ans]]!@,23851,"<div class=""ex-text"" align=""center"">

$7\frac{8}{9} =?$

</div>

**步骤 1：** 将分母（分数中的下方数字）与整数相乘。

$$
{\color {salmon}7}\frac{8}{{\color {salmon}9}} \text{}\:\:\:\:\:\:\:\:\:\:\:\text{}
{\color {salmon}7}  \: \times \: {\color {salmon}9}\  = \: {\color {salmon}63}
$$
**步骤 2：** 将步骤 1 的答案加到分子（分数中的上方数字）上。

$$
7\frac{{\color {salmon}8}}{9} \text{}\:\:\:\:\:\:\:\:\:\:\:\text{}
{\color {salmon}63}  \: + \: {{\color {salmon}8}}\  = \: {\color {salmon}71}
$$
**步骤 3：** 将步骤 2 的答案写在分母上。

$$
\frac{{\color {salmon}71}}{9}
$$"
50571,49,en,"Add.##If your answer is an improper fraction, change it to a mixed number.\n$\frac{5}{7}$ + $\frac{10}{7}$ = [[ans]]_fhint_",24451,"<div class=""ex-text"" align=""center"">

$\frac{5}{7} + \frac{10}{7}\text{}=?$

</div>

**步骤 1:** 要相加分母相同的分数，只需将所有分数的分子相加，并保持共同的分母。在这种情况下，我们将分子相加，即 5 和 10，得到 15。

$$
\frac{{\color {Salmon} 5}}{7} + \frac{{\color {Salmon} 10}}{7}\text{}=\frac{{\color {Salmon} 15}}{ }
$$

**步骤 2:** 分母保持不变。

$$
\frac{5}{{\color {Salmon} 7}} + \frac{10}{{\color {Salmon} 7}}\text{}=\frac{15}{{\color {Salmon} 7}}
$$

错误: 'NoneType' object is not subscriptable
错误: 'NoneType' object is not subscriptable

</div>
</div>"
50131,50,en,"Subtract the fractions.##If your answer is an improper fraction, change it to a mixed number.\n$\frac{8}{5}$ − $\frac{1}{5}$ = [[ans]]_fhint_",24029,"<div class=""ex-text"" align=""center"">

$\frac{8}{5} - \frac{1}{5}\text{}=?$

</div>

**步骤 1:** 要减去具有 **相同分母** 的分数，只需减去所有分数的分子，保持共同的分母。在这种情况下，我们减去分子，即 8 减去 1，我们得到 7。

$$
\frac{{\color {Salmon} 8}}{5} - \frac{{\color {Salmon} 1}}{5}\text{}=\frac{{\color {Salmon} 7}}{ }
$$

**步骤 2:** 当你减去具有相同分母的分数时，等分的大小不会改变。

$$
\frac{8}{{\color {Salmon} 5}} - \frac{1}{{\color {Salmon} 5}}\text{}=\frac{7}{{\color {Salmon} 5}}
$$

错误: 'NoneType' object is not subscriptable
错误: 'NoneType' object is not subscriptable

</div>
</div>"
51377,51,en,Multiply.##Reduce the answer to the lowest term.\n$\frac{9}{12}$ × $\frac{3}{4}$ = [[ans]]_fhint_,25257,"<div class=""ex-text"" align=""center"">

$\frac{9}{12} \times \frac{3}{4}\text{}=?$

</div>

**第一步：** 将分数的上面的数字（分子）相乘。在这种情况下，9 乘以 3 等于 27。然后我们将分数的下面数字（分母）相乘。在这种情况下，12 乘以 4 等于 48。

$$
\frac{9}{12} \times \frac{3}{4}\text{}=  \frac{9\times3}{12\times4} = \frac{27}{48}
$$
**第二步：** 始终将你的最终答案简化为它的 **最简形式**。由于 27 和 48 的最大公约数是 3, $\large\frac{27÷3}{48÷3}$ 等于 $\large\frac{9}{16}$. 所以 $\large\frac{9}{16}$ 是我们的最终答案。

因此，最终的解是 $\large\frac{9}{16}$。
</div>
</div>"
51432,52,en,Divide.##Reduce the answer to the lowest term.\n$\frac{1}{3}$ ÷ $\frac{2}{4}$ = [[ans]]_fhint_,25274,"<div class=""ex-text"" align=""center"">

$\frac{1}{3} \div \frac{2}{4}\text{}=?$

</div>

**步骤 1：** 将第二个分数（你想要除的分数）上下反转过来。

$$
\frac{2}{4}
\:\:\:\longrightarrow    \:\:
\frac{\color {salmon}4}{\color {salmon}2}
$$
**步骤 2：** 将两个分数的分子相乘。在这种情况下，1 乘以 4 等于 4。然后我们将两个分数的分母相乘。在这种情况下，3 乘以 2 等于 6。

$$
\frac{1}{3} \times \frac{4}{2}\text{}=  \frac{1\times4}{3\times2} = \frac{4}{6}
$$
**步骤 3：** 始终将你的最终答案简化为 **最简形式**。由于 4 和 6 的最大公约数是 2, $\large\frac{4÷2}{6÷2}$ 等于 $\large\frac{2}{3}$. 所以 $\large\frac{2}{3}$ 是我们最终的答案。
$$
\frac{4}{6} =
 \frac{4\color {Salmon}\div2}{6\color {Salmon}\div2}= \frac{\color {Salmon}2}{\color {Salmon}3}
$$
因此，最终的解是 $\large\frac{2}{3}$."
52237,53,en,Find the LCM of these numbers.\nLCM of $15$ and $17$ is [[ans]],26082,"<div class=""ex-text"" align=""center"">

找到 $15$ 和 $17$ 的最小公倍数

</div>

**第 1 步：** 我们将首先找到 15 和 17 的质因数。这意味着我们将每个数字分解成最小的“质数因子”组合。质因数就像构成这个数字的最小拼图块。

- 15 的质因数：

    - 从小的开始，能整除 15 的最小数是 3，所以我们写下 3。然后 $15 / 3 = 5$。
    - 注意 5 也是一个质数，因此我们写下 5。
    - 因此，15 的质因数是 3, 和 5。($15 = 3 \times 5$).

- 17 的质因数：

    - 17 是质数，因此它是唯一的因数


**第 2 步：** 接下来，我们找到两个数字的所有因数。这些是 15 和 17 的“质数因子”组合。

    - 15 和 17 没有共同的质因数。
    - 15 和 17 的唯一质因数是 3, 5 和 17.


**第 3 步：** 然后，我们将所有共同因数与两个数字的非共同因数相乘，以得到最小公倍数。

所以答案是 $3 \times 5 \times 17 = 255$。
</div>
</div>"
331196,54,en,Find the GCF of these numbers.\nGCF of $22$ and $42$ is [[ans]],26471,"<div class=""ex-text"" align=""center"">

找到 $22$ 和 $42$ 的最大公因数

</div>

**步骤 1：** 我们先找到 22 和 42 的质因数。这意味着我们将每个数字分解成最小的“质数因子”组合。质因数就像构成该数字的最小拼图块。

-   22 的质因数：
    - 从小的开始，能整除 22 的最小数是 2，所以我们写下 2。然后 $22 / 2 = 11$。
    - 注意 11 也是一个质数，因此我们写下 11。
    - 因此，22 的质因数是 2,  和 1。($22 = 2 \times 11$).

- 42 的质因数：
    - 从小的开始，能整除 42 的最小数是 2，所以我们写下 2。然后 $42 / 2 = 21$。
    - 现在，能整除 21 的最小数是 3，所以我们写下 3。然后 $21 / 3 = 7$。
    - 注意 7 也是一个质数，因此我们写下 7。
    - 因此，42 的质因数是 2, 3, 和 7。($42 = 2 \times 3 \times 7$).


**步骤 2：** 接下来，我们找到共同的质因数。这些是 22 和 42 共享的“质数因子”组合。

-   22 和 42 的共同质因数 factor is 2。

**步骤 3：** 最后，我们将共同质因数相乘以找到最大公因数。

所以答案是 $2 = 2$。"
53645,55,en,"Add.##If your answer is an improper fraction, write it as a mixed number.\n$\frac{5}{4}$ + $\frac{11}{5}$ = [[ans]]_fhint_",27399,"<div class=""ex-text"" align=""center"">

$$
\frac{5}{4} + \frac{11}{5}
$$

</div>

**步骤 1:** 分数需要有相同的分母。找到两个分母的最小公倍数。

4和5的最小公倍数是 **20**。

**步骤 2:** 对于每个分数，调整分子。将每个分数的分子和分母乘以相同的因子，以使分母匹配。

$$
\frac{5}{4} + \frac{11}{5} = \frac{5}{4} \times \frac{5}{5} + \frac{11}{5} \times \frac{4}{4} = \frac{25}{20} + \frac{44}{20}
$$

**步骤 3:** 将分子相加，并始终将最终答案简化到 **最简形式**。在这种情况下，结果是 $\large\frac{69}{20}$  

$$
\frac{25}{20} + \frac{44}{20} = \frac{69}{20}

$$

由于答案是一个假分数，我们可以将其简化为带分数 $3\frac{9}{20}$

所以答案是 $3\frac{9}{20}$。"
52909,56,en,"Subtract.##If your answer is an improper fraction, write it as a mixed number.\n$\frac{7}{3}$ − $\frac{7}{8}$ = [[ans]]_fhint_",26750,"<div class=""ex-text"" align=""center"">

$$
\frac{7}{3} - \frac{7}{8}
$$

</div>

**步骤 1：** 分数需要有相同的分母。寻找两个分母的最小公倍数。

3 和 8 的最小公倍数是 **24**。

**步骤 2：** 对于每个分数，调整分子。将每个分数的分子和分母都乘以相同的因子，以使分母匹配。
$$
\frac{7}{3} - \frac{7}{8} = \frac{7}{3} \times \frac{8}{8} - \frac{7}{8} \times \frac{3}{3} = \frac{56}{24} - \frac{21}{24}
$$

**步骤 3：** 减去分子，并始终将最终答案简化到其 **最简形式**。

$$
\frac{56}{24} - \frac{21}{24} = \frac{35}{24}

$$

结果是 $\large\frac{35}{24}$ 

由于答案是一个假分数，我们可以将其简化为带分数 $1\frac{11}{24}$

所以答案是 $1\frac{11}{24}$。"
54493,57,en,"Solve.##If your answer is an improper fraction, write it as a mixed number.\n$3\frac{3}{7}$ − $1\frac{2}{7}$ = [[ans]]_fhint_",28239,"<div class=""ex-text"" align=""center"">

$$
3\frac{3}{7} - 1\frac{2}{7}
$$

</div>

**步骤 1:** 减 分数部分。
$$
\frac{3}{7} - \frac{2}{7} = \frac{1}{7}
$$

**步骤 2:** 减 整数部分。
$$
3 - 1 = 2
$$

**步骤 3:** 组合分数和整数。
$$
2 + \frac{1}{7} = 2\frac{1}{7}
$$

所以答案是 2\frac{1}{7}。"
55361,58,en,Multiply.\n4×85.76[[ans]]@,29160,"<div class=""ex-text"" align=""center"">

$$
4 \times 85.76
$$

</div>

**步骤 1：** 先忽略小数点，将这两个数字当作整数进行相乘。
$$
\begin{array}{l r}
&4\:\:\:\\
\times&8576\:\:\:\\
\hline
&{\color{Salmon}34304}\:\:\:\\
\end{array}
$$

**步骤 2：** 确定原始小数中小数点后的位数。在这个例子中，位数为 2。

**步骤 3：** 将小数点向左移动 二 位 位，以调整乘积。
$$
\begin{array}{l r}
&{\color{Salmon}4}\:\:\:\\
\times&85.{\color{Salmon}76}\:\:\:\\
\hline
&{\color{Salmon}343.04}\:\:\:\\
\end{array}
$$


所以 $4 \times 85.76 = 343.04$

</div>
</div>"
55078,59,en,Divide.\n59.7÷2[[ans]]@,28829,No solution found for this knowledge point.
55769,60,en,Multiply.\n$220.757$ × $10$ = [[ans]],29568,"<div class=""ex-text"" align=""center"">

$$
220.757 \times 10
$$

</div>

**步骤 1：** 首先，确定小数点的位置。
$$
220{\color{Salmon}.}757
$$

小数点在 220 之后。

**步骤 2：** 当我们乘以 10 时，我们将小数点向右移动 一 位。
$$
\begin{array}{lr}
&220{\color{Salmon}.}757×10\\
\end{array}
\longrightarrow
\begin{array}{lr}
&2207{\color{Salmon}.}57\\
\end{array}
$$

所以答案是 $2207.57$"
56198,61,en,Divide.\n$3442$ ÷ $100$ = [[ans]],29997,"<div  class=""ex-text""  align=""center"">

$$
3442 \div 100
$$

</div>

**步骤 1：** 首先，识别小数点的位置。
$$
3442{\color{Salmon}.}
$$

在 $3442$ 中，小数点位于数字的末尾。

**步骤 2：** 当我们用 100 相除时，移动小数点 二 位 向左。
$$
\begin{array}{lr}
&3442{\color{Salmon}.}\\
\end{array}
\longrightarrow
\begin{array}{lr}
&34{\color{Salmon}.}42\\
\end{array}
$$

所以答案是 $34.42$"
56423,62,en,Multiply.\n0.3×0.6[[ans]]@,30222,"<div  class=""ex-text""  align=""center"">

$$
0.3 \times 0.6
$$

</div>

**第一步：** 先忽略小数点，把两个数字当成整数相乘。
$$
\begin{array}{l r}
&3\:\:\:\\
\times&6\:\:\:\\
\hline
&{\color{Salmon}18}\:\:\:\\
\end{array}
$$

**第二步：** 确定原始小数中小数点后的位数。在这个例子中，位数为 2。

**第三步：**将小数点向左移动 二 位 位，以调整乘积。
$$
\begin{array}{l r}
&0.{\color{Salmon}3}\:\:\:\\
\times&0.{\color{Salmon}6}\:\:\:\\
\hline
&{\color{Salmon}0.18}\:\:\:\\
\end{array}
$$

所以 $0.3 \times 0.6 = 0.18$"
57002,63,en,Divide.\n2.4÷0.6[[ans]]@,30793,No solution found for this knowledge point.
237030,64,en,"Find the mean.##Adding all numbers together and then dividing by the number of terms.\n71, 86, 97, 113, 123\n[[ans]]",31656,"<div  class=""ex-text""  align=""center"">

找到 $71,86,97,113,123$ 的平均值

</div>

**第1步:** 将所有数字加在一起计算出总和。

$$
71 + 86 + 97 + 113 + 123 = 490
$$

**第2步:** 计算数字的个数。这种情况下，一共有 是 5 个数字 个数字。

**第3步:** 将数字的总和除以数字的个数。

$$
490 \div 5 = 98
$$

所以答案是 $98$。"
237188,65,en,"Find the middle number by sorting in order.##If there are two middle numbers, take the mean of those two.\n83, 69, 23, 72, 3\n[[ans]]",31813,"<div  class=""ex-text""  align=""center"">

找到 $83,69,23,72,3$ 的中位数

</div>

**步骤 1：** 将数字按升序或降序排列均可。
$$
23,3,69,72,83
$$

**步骤 2：** 找到中间数字。

在这种情况下，中间数在位置 3。
$$
23, 3, {\color{salmon}69},72, 83
$$


所以答案是 $69$。"
237597,66,en,"Identify the number that appears the most.\n89, 53, 53, 30, 8\n[[ans]]",32227,"<div  class=""ex-text""  align=""center"">

找到 $89,53,53,30,8$ 的众数

</div>

**步骤 1：**可以将数字按升序或降序排序，这样有助于计数更加简单和准确，但这并不是必须的。
$$
8, 30, 53, 53, 89
$$

**步骤 2：** 找到出现次数最多的数字。
$$
89, {\color{salmon}53}, {\color{salmon}53}, 30, 8
$$

所以答案是 $53$。"
58557,67,en,Solve.\n$10^2$ = [[ans]],32454,"<div class=""ex-text"">

$$
10^2 = ?
$$

</div>

数字 十 的指数为 二。这意味着你将数字 10 乘以它自己 二 次。 $10^2$ 读作 ""十 的 二 次方"" 或 “十 的平方”。
$$
10×10 = 100
$$"
58660,68,en,Solve.\n$37$ + ($3^3$ − $9$) × $4$ = [[ans]],32560,"<div class=""ex-text"">

$$
37+(3^3-9)\times4 = ?
$$

</div>

**步骤 1:** 根据 **运算顺序**，我们首先计算括号内的表达式。
$$
(3^3-9)
$$
**步骤 2:** 我们现在检查括号内是否有指数。在这种情况下，括号内有 1 个指数。
$$
37+(3^3-9)\times4 = 37+(27-9)\times4
$$
**步骤 3:** 我们现在检查括号内是否有乘法和除法操作。在这种情况下，括号内没有乘法或除法操作。

**步骤 4:** 我们现在检查括号内的加法和减法操作。在这种情况下，括号内有 0 次加法和 1 次减法操作，我们从左到右进行。
$$
37+(27-9)\times4 = 37+18\times4
$$
**步骤 5:** 现在我们已经完成了括号内的操作，接下来进行括号外的操作，从指数开始。在这种情况下，没有剩余的指数。
**步骤 6:** 我们现在检查乘法和除法操作。在这种情况下，有 1 次乘法和 0 次除法操作，我们从左到右进行。
$$
37+18\times4 = 37+72
$$
**步骤 7:** 我们现在检查加法和减法操作。在这种情况下，有 1 次加法和 0 次减法操作，我们从左到右进行。
$$
37+72 = 109
$$


因此，该表达式的最终答案是 109。
</div>
</div>"
58989,69,en,Solve.##Reduce the answer to the lowest term.\n$\frac{5}{11}$ × $\frac{1}{2}$ ÷ $\frac{3}{8}$ = [[ans]]_fhint_,32889,"<div class=""ex-text"">

$$
\frac{5}{11} \times \frac{1}{2} \div \frac{3}{8}
$$

</div>

**步骤 1:** 将任何除法转换为乘法
$$
\frac{5}{11} \times \frac{1}{2} \div \frac{3}{8} = \frac{5}{11} \times \frac{1}{2} \times \frac{8}{3}
$$

**步骤 2:** 检查是否有分数可以简化。如果可以，寻找分子和分母之间的最大公约数。 third 分数的分子和 second 分数的分母的最大公约数是 2。我们将这两个数除以 2。
$$
\frac{5}{11} \times \frac{1}{2\div{\color{Salmon}{2}}} \times \frac{8\div{\color{Salmon}{2}}}{3} = \frac{5}{11} \times \frac{1}{{\color{Salmon}{1}}} \times \frac{{\color{Salmon}{4}}}{3}
$$
**步骤 3:** 现在所有的分数都已简化为最简形式，进行相乘。
$$
\frac{5}{11} \times 1 \times \frac{4}{3} = \frac{20}{33}
$$

答案是 $\frac{20}{33}$.
</div>
</div>"
59716,70,en,"Add the Fractions.##If your answer is an improper fraction, write it as a mixed number.\n$\frac{1}{4}$ + $\frac{1}{2}$ + $\frac{4}{9}$ = [[ans]]_fhint_",33616,"<div class=""ex-text"">

$$
\frac{1}{4} +  \frac{1}{2} +  \frac{4}{9} = ?
$$

</div>

**步骤 1：** 要使所有分数具有相同的分母，我们首先需要计算这三个分母的最小公倍数。

4、2 和 9 共享一个公分母 **36**。


**步骤 2：**对每个分数，调整其分子和分母。将分子和分母同时乘以相同的因数，使所有分数的分母相同。
$$
\frac{1}{4} +  \frac{1}{2} +  \frac{4}{9} = \frac{1×9}{4×9} +  \frac{1×18}{2×18} +  \frac{4×4}{9×4} =  \frac{9}{36} +  \frac{18}{36} +  \frac{16}{36}
$$

**步骤 3：** 相加分子，并在需要时简化。
检查分数是否处于最简形式。
$$
\frac{9}{36} +  \frac{18}
{36} +  \frac{16}{36} = 1\frac{7}{36}

$$

答案是 $1\frac{7}{36}$."
60091,71,en,"Solve.##If your answer is an improper fraction, write it as a mixed number.\n$\frac{1}{2}$ + $\frac{3}{8}$ − $\frac{3}{5}$ = [[ans]]_fhint_",33991,"<div class=""ex-text"">

$$
\frac{1}{2} + \frac{3}{8} − \frac{3}{5} = ?
$$

</div>

**步骤 1：** 要使所有分数具有相同的分母，我们首先需要计算这三个分母的最小公倍数。

我们可以看到 2、8 和 5 的最小公倍数是 **40**。

**步骤 2：** 对每个分数，调整其分子和分母。将分子和分母同时乘以相同的因数，使所有分数的分母相同。
$$
\frac{1}{2} + \frac{3}{8} − \frac{3}{5} = \frac{1×20}{2×20} + \frac{3×5}{8×5} − \frac{3×8}{5×8} = \frac{20}{40} + \frac{15}{40} − \frac{24}{40}
$$

**步骤 3：** 从左到右，根据符号进行加法或减法。如果结果为假分数，再进行简化。
$$
\frac{20}{40} + \frac{15}{40} − \frac{24}{40} = \frac{59}{40} = 1\frac{19}{40}
$$
答案是 $1\frac{19}{40}$。
</div>"
60875,72,en,Solve.##Reduce the answer to the lowest term.\n$(\frac{5}{6} − \frac{3}{4})$ ÷ $\frac{2}{3}$ = [[ans]]_fhint_,34775,"<div class=""ex-text"">

$$
(\frac{5}{6}-\frac{3}{4}\div\frac{2}{3}) = ?
$$

</div>

None

答案是 $0$。"
60996,73,en,"Solve.##If your answer is an improper fraction, write it as a mixed number.\n$2\frac{13}{16}$ × $\frac{13}{15}$ − $\frac{1}{4}$ = [[ans]]_fhint_",34896,"<div class=""ex-text"">

$$
(\frac{13}{16}\times\frac{13}{15}-\frac{1}{4}) = ?
$$

</div>

**步骤 1:** 首先将所有带分数转换为假分数。在这种情况下，没有带分数。

**步骤 2:** 根据 **运算顺序**，我们首先计算括号内的表达式。
$$
(\frac{13}{16}\times\frac{13}{15}-\frac{1}{4})
$$
**步骤 3:** 我们现在检查括号内的指数。在这种情况下，括号内没有指数。

**步骤 4:** 我们现在检查括号内的乘法和除法操作。在这种情况下，括号内有 1 次乘法和 0 次除法操作，我们从左到右进行。若可能，最后简化。
$$
(\frac{13}{16}\times\frac{13}{15}-\frac{1}{4}) = (\frac{169}{240}-\frac{1}{4})
$$
**步骤 5:** 我们现在检查括号内的加法和减法操作。在这种情况下，括号内有 0 次加法和 1 次减法操作，我们从左到右进行。若可能，最后简化。
$$
(\frac{169}{240}-\frac{1}{4}) = (\frac{169\times{\color{Salmon}{1}}}{240\times{\color{Salmon}{1}}}-\frac{1\times{\color{Salmon}{60}}}{4\times{\color{Salmon}{60}}}) = (\frac{169-60}{240}) = \frac{109}{240}
$$
**步骤 6:** 现在我们已经完成了括号内的操作，接下来进行括号外的操作，从指数开始。在这种情况下，没有剩余的指数。

**步骤 7:** 我们现在检查乘法和除法操作。在这种情况下，没有剩余的乘法或除法操作。

**步骤 8:** 我们现在检查加法和减法操作。在这种情况下，没有剩余的加法或减法操作。

**步骤 9:** 若可能，请简化。在这种情况下，分数无法进一步简化。



答案是 $\frac{109}{240}$."
